batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
Sohag Gazi,Bangladesh,15,15,12,3,182,207,18,4,0,0,30,87.92,15.17
Sohaib Maqsood,Pakistan,27,27,25,2,768,935,59,19,5,0,89,82.14,30.72
Sohail Khan,Pakistan,6,6,5,1,25,52,2,0,0,0,7,48.08,5.0
Sohail Tanvir,Pakistan,38,38,29,9,399,468,44,6,1,0,59,85.26,13.76
Sompal Kami,Nepal,46,46,33,13,706,944,51,16,2,0,67,74.79,21.39
Soumya Sarkar,Bangladesh,66,67,64,3,2187,2339,250,54,14,3,169,93.5,34.17
Steven Ryan Taylor,United States of America,1,1,1,0,46,81,5,0,0,0,46,56.79,46.0
Subashis Roy,Bangladesh,1,1,0,0,1,9,0,0,0,0,1,11.11,inf
Sufiyan Muqeem,Pakistan,3,3,1,2,15,17,1,1,0,0,13,88.24,15.0
Sufyan Mehmood,Oman,7,7,6,1,107,141,6,3,1,0,72,75.89,17.83
Suhrawadi Shuvo,Bangladesh,10,10,7,3,98,138,9,1,0,0,20,71.01,14.0
Sultan Ahmed,United Arab Emirates,2,2,2,0,18,44,2,0,0,0,11,40.91,9.0
Sultana Khatun,Bangladesh,9,9,8,1,40,90,4,0,0,0,16,44.44,5.0
Sultana Yesmin,Bangladesh,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0
Sumaiya Akter,Bangladesh,3,3,3,0,3,20,0,0,0,0,2,15.0,1.0
Sumaiya Siddiqi,Pakistan,3,3,2,1,27,32,5,0,0,0,24,84.38,13.5
Sunzamul Islam,Bangladesh,1,1,1,0,19,25,3,0,0,0,19,76.0,19.0
Suraiya Azmin,Bangladesh,1,1,1,0,0,2,0,0,0,0,0,0.0,0.0
Suraj Kumar,Oman,18,18,12,6,392,524,25,12,3,0,62,74.81,32.67
Surya Tamang,Nepal,1,1,0,0,10,33,0,0,0,0,10,30.3,inf
Syed Rasel,Bangladesh,22,22,13,9,76,168,7,0,0,0,15,45.24,5.85
Syeda Aroob Shah,Pakistan,4,4,2,2,52,61,4,0,0,0,40,85.25,26.0
